bron,beoordeling,locatie,maand,opgeschoonde_review,ml_trefwoorden,polariteit,sentiment
trustpilot,1.0,Goes,2025-08,dacht gezell sam vrouw echtgenot jaaahaaahet mogelijk trakter etentj goeswat aanfluit ruim uur moet wacht menus schnitzelkip hamburger menus plus frisdrank bedrag euro moet aftik klaarblijk wan michelin sterr gewon veredeld patattent afvalverwerk bedrijf grot schreeuwend gel pal neewil echt lekker keus zat betreft berenkrijg allemal kler,,-0.9996438026428223,negatief
trustpilot,4.0,Rotterdam,2025-08,geget markthal rotterdamet lekker ober aandacht glut lactosevrij dieet zocht wel etenw vond wel lawaaier muziek moest per bov geroezemoes klant uitkomenwachttijd lang bijvoorbeeld par mal moet vrag,lange_wachten,-0.9997448325157166,negatief
trustpilot,2.0,nan,2025-08,bedien onervar slecht matig slecht kreg eerst varkenshas gril pepersaus min later kwam pas kipsat kinder alvast begonn ennhad optoen bedien vroeg uitgeget gaf kinder kipsat not_hadden gehad bedien ging gelijk richting keuk blijkbar stond warmhoud lamp goed zien verkoekt sat sausgen excus bedieningtafeltj naast eerst stelletj weggelop min wacht twed stelletj ging zit vroeg kwartier eindelijk mocht,"lange_wachten, service",-0.9997190833091736,negatief
trustpilot,1.0,nan,2025-08,frietjes slap lauw voorgerecht verget coleslaw uitgedroogd oud burger not_lekker ronduit slecht wij bevel hel snel weg gegan,eten_koud,-0.9997864365577698,negatief
trustpilot,2.0,Roosendaal,2025-08,binnenkomst personel bepaald dicht mogelijk deur wild gan zit personel vriendelijk gevoel erg lui wij allen gedronk daarna weg gegaantijden betal juffrouw afrek erg onvriend betreft wel lerengan terug toe nee,service,-0.9996299743652344,negatief
trustpilot,1.0,nan,2025-08,not_aircomedewerker weigert airco doenduurt lang serviceiederen zwetenmanager blijkbar not_controle zak,"lange_wachten, airco",-0.9996987581253052,negatief
trustpilot,3.0,nan,2025-08,schrok reken afbak broodjes kruidenboter aiolie gyoza gewon hamburger appelkruimel toetj wel flesj wijn vind nogal,,-0.9997108578681946,negatief
trustpilot,2.0,nan,2025-08,stond lang balie frituurkeukentj waardor bijna koud,lange_wachten,-0.9996869564056396,negatief
trustpilot,2.0,Rotterdam,2025-08,person geget grot ergernisairco mocht zak bas terras gevlucht bedien keurig netjes zer matig schnitzel person echt smerig half rauw lek schoenzol rest onverzorgd absolut not_aanrader vroeger rotterdam goed lang geled fooi betaald jammer serveerster keurig nooit zull wij kom wij zull verder vertellenu bent gewaarschuwd gerard,"lange_wachten, service, hygiene",-0.9989162683486938,negatief
trustpilot,1.0,Roosendaal,2025-08,airco mocht zak bas terras gevlucht bedien keurig netjes zer matig schnitzel person echt smerig half rauw lek schoenzol rest onverzorgd absolut not_aanrader vroeger rotterdam goed lang geled fooi betaald jammer serveerster keurig nooit zull wij kom wij zull verder vertell bent gewaarschuwd,"lange_wachten, service, airco, hygiene",-0.999594509601593,negatief
google,2.0,Almere,NaT,helas fijn geget moest uur wacht total not_druk verget vragen… wel lief dames bedien drankj wild aanbied huis had lang moest wacht eigen not_zin had langer blijv plus klein kindj heeel honger verder gerecht not_compleet not_gecommuniceerd hel lang horeca gewerkt begrip misschien beter management wel handig helemal prijz,"lange_wachten, service",-0.9991568326950073,negatief
google,1.0,Almere,NaT,uitsmijter duurd best lang uitsmijter koud jammer hel mooi uitzicht,lange_wachten,-0.9997509121894836,negatief
google,2.0,nan,NaT,maandagavond gan binnenkomst terras duurd enig tijd voordat kreg voorgerecht knoflookgarnal garnal erg hard doorgeklikt lek alsof gegaard garnal kommetj het knoflookolie gedan hoofdgerecht sparerib pittig lek wel hel makkelijk pittig allen saus erop gesmeerd tijden bak achteraf spuitfles not_dessert genom ker vochtig doekjes gevraagd gekreg toe,,-0.9996939897537231,negatief
google,3.0,nan,NaT,bedien hand jong onervar jeugd best koz social deal gang menu moest erg lang wacht mal toe blek lang wacht besteld gerecht not_voorradig hoofdgerecht spar rib zijd aangebrand not_bezwaar gemaakt langer hoev wacht afreken personel hoogt sociaal deal uiteind wel tevred opgelost slecht indruk voorhen wel goed ervar gehad almer,"lange_wachten, service",-0.9997420907020569,negatief
google,1.0,nan,NaT,gezell afsluit onz zomervakantie moest liep lang zit ruim uur vol ergerniss had gang diner via socialdeal kinder zoud kaart ruim uur wacht kwam voorgerecht carpaccio water waarschijn ontdooit vriezer not_gevraagd wanner hoofdgerecht kid wild krijg normal word gevraagd bestell vrag wanner geserveerd verteld hoofdgerecht duurt rondes aangezien voorgerecht lang duurd gevraagd eerder kom hen kwam gast dezelfd deal kreg vrij snel all rondes geserveerd achter wij moest tuss rondes zeker minut wacht total ruim uur gezet wij had kid churros wij kreg toetj ruim minut not_toetje kid ging navrag ober lang liep ondertuss aangesprok tafel naast liep mid gesprek weg zer onbeschoft hierna vrag afmak blek toetjes kid not_gemaakt planning stan kom zer slecht not_alle toetjes tegelijk uitgeserveerd server toetjes blek not_churros poedersuiker chocodip kindermenu hel feest ijs slagrom chocoladesaus jongst verdriet lust not_oudste moeilijk dacht eet terug bedien kaart stond enig hor kreg dessert menu gedan waarop zei wij had dessert deal duidelijk gezegd churros kid opnem bestell reken gehaald oudst geget erg vond stond wel bon echter later control bon zag dessert ipv moet fout lag bedien zond,"lange_wachten, service",-0.9996516704559326,negatief
google,1.0,Almere,NaT,wer kan gegev afgelop ker erg teleurgesteld bezoek laatst kort houd houd gerecht loaded fried pulled chick gerecht zag not_uit… zat amper truffelsaus spekjes erbij hoord moest vrag aangezien chef not_erop gezet lauw spekjes erg hard ker taart kom halverweg erachter zit… wanner aangef krijg halv oploss extra frietjes frustratie gewon weggan gelat wel zeker nooit terugkom,eten_koud,-0.9997642636299133,negatief
google,3.0,Almere,NaT,tja prima prijs ervor betaald meerder ker ieder ker moest erg lang wacht personel wel vriendelijk denkt grag mee prijs betaald redelijk plek,"lange_wachten, service",-0.9957467913627625,negatief
google,3.0,nan,NaT,oke bedien vriendelijk wel trag,service,0.889157235622406,positief
google,1.0,Almere,NaT,horecageleg waarvan personel enkel uitzonder not_weet hospitality zit vinger over vind zond uitgerek ondernem mooist plek almer zit,service,-0.8778836727142334,negatief
google,1.0,nan,NaT,werd not_geholpen minut wer vertrok zelf gevraagd kaart mens binnenkwam had eerder,,-0.9993472695350647,negatief
google,1.0,Almere,NaT,tijden lunch sandwich kip volgen menu kaart gewokt kip kreg oud kipsat blokkenkoud smaaklos zag spor satestokjes gewokt tussendor chilisaus geroerd geserveerd kwaliteit normal krijg jammer voorlop not_bobby ber not_hoofdprijs betal opgewarmd satestokjes dag ervor gerecht,,-0.9996682405471802,negatief
google,3.0,Almere,NaT,gedineerd via social deal smakelijk leuk opgedi bedien vriendelijk oogt onzeker snelheid wel ernstigwij kwam binn had pas hoofdgerecht total had wij gang elk gang gelijk gevraagd volgend gang wild gelukk zeid wij ander zat wij not_tweede ker denk,service,-0.9975079298019409,negatief
google,2.0,nan,NaT,hel slecht bedien verkeerd drankj excuses duurt uur voordat krijgt leg glaz weggehaald not_nieuwe bestell opgenom chagrijn bedien bloedhet tent,service,-0.9997981190681458,negatief
